xpathparser:0,xpathparser:1,xpathparser:2,xpathparser:4,xpathparser:5,xpathparser:6,xpathparser:7,xpathparser:8,xpathparser:9
45,KC,cc_office,"Upper Ground Floor, 6 Cheong Hang Road, Hung Hum, Kowloon",23655321,23645364,21764963,Mondays to Fridays:\n0900 - 1300 hrs\n1400 - 1700 hrs\n \nSaturdays:\n0900 - 1200 hrs\n \nSundays and Public Holidays:\nClose,"22.30641,114.18234",0
46,Wch,cc_office,"18/F, Wu Chung House, 213 Queenand#039;s Road East, Wan Chai, Hong Kong",29618842,N/A,25153317,Mondays to Fridays:\n0900 - 1230 hrs\n1400 - 1630 hrs\n \nSaturdays:\n0900 - 1230 hrs\n \nSundays and Public Holidays:\nClose,"22.274398,114.172736",0
47,SSP,cc_office,"1/F, Cheung Sha Wan Government Offices, 303 Cheung Sha Wan Road, Sham Shui Po, Kowloon",21507502,N/A,27656402,Mondays to Fridays:\n0900 - 1230 hrs\n1400 - 1630 hrs\n \nSaturdays:\n0900 - 1230 hrs\n \nSundays and Public Holidays:\nClose,"22.33186,114.16034",0
48,E,bath,"No. 28, Tung Hei Road",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.281325,114.230214",0
49,CW,bath,Junction of Shing Wong Street and Wa Hing Lane,N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.283733,114.151492",0
50,CW,bath,Junction of Gutzlaff Street and Chuk Hing Lane,N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.28295,114.153897",0
51,CW,bath,Junction of Pound Lane and Tai Ping Shan Street,N/A,N/A,N/A,8 a.m. to 10 a.m.\n4:30 p.m. to 8:30 p.m.,"22.284964,114.147675",0
52,CW,bath,Junction of Water Street and Pok Fu Lam Road,N/A,N/A,N/A,8 a.m. to 10 a.m.\n4:30 p.m. to 8:30 p.m.,"22.285269,114.139194",0
53,CW,bath,Junction of Second Street and Western Street,N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.286163,114.140798",0
54,Wch,bath,Junction of Kat On Street and Kennedy Street,N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 10:00 p.m.,"22.273225,114.174467",0
55,YT,bath,"No. 1, Market Street",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.309494,114.170361",0
56,YT,bath,"No. 107, Parkes Street",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.306467,114.170625",0
57,MK,bath,"No. 55, Anchor Street",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.32001,114.16413",0
58,SSP,bath,557 Yee Kuk Street,N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.333639,114.152656",0
